id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958063393323060265,Rental unit in Boston · ★4.94 · Studio · 1 bed · 1 bath,331225367,Stone,,South End,42.34214779250125,-71.07909586835892,Entire home/apt,107,1,17,2023-11-16,4.77,68,0,17,str-526502
958065425063050341,Rental unit in Boston · ★4.88 · Studio · 1 bed · 1 bath,528489640,Foster,,South End,42.34226,-71.07925,Entire home/apt,85,1,17,2023-11-12,4.72,1,245,17,str-526502
958552879239399525,Rental unit in Boston · ★3.20 · 1 bedroom · 1 bed · 1 bath,412452734,Dan,,Dorchester,42.3171613915894,-71.05388945945832,Private room,37,29,4,2023-11-12,1.14,8,0,4,Exempt: This listing is a unit that has contracts with hospitals
958648577659799676,Rental unit in Boston · 1 bedroom · 1 bed · 1 shared bath,23035099,Kristine,,South Boston,42.33409049999999,-71.0319214,Private room,48,30,0,,,3,269,0,
958740384258392294,Rental unit in Boston · ★5.0 · 2 bedrooms · 2 beds · 1 bath,200275488,Chris,,East Boston,42.36743,-71.03544,Entire home/apt,189,3,8,2023-12-01,2.24,1,0,8,STR-478920
959888489456599762,Rental unit in Boston · Studio · 1 bed · 1 bath,107434423,Blueground,,Back Bay,42.35308149999999,-71.0721938,Entire home/apt,171,32,0,,,339,275,0,
960242504685251361,Rental unit in Boston · 1 bedroom · 1 bed · 1 shared bath,342519983,Marquis Escapes,,South Boston,42.3370788943205,-71.03337548072379,Private room,60,91,0,,,6,352,0,
960242551328852127,Rental unit in Boston · 5 bedrooms · 5 beds · 2 baths,342519983,Marquis Escapes,,South Boston,42.337246208640444,-71.03525754973766,Entire home/apt,360,91,0,,,6,352,0,Exempt: This listing is a unit used for furnished institutional or business stays
960243742276636916,Rental unit in Boston · ★4.87 · Studio · 1 bed · 1 bath,233908696,Together We,,Fenway,42.34696,-71.10332,Entire home/apt,111,1,14,2023-12-08,3.85,2,0,14,str-543851
960441596149014714,Rental unit in Boston · ★5.0 · Studio · 1 bed · 1 bath,31340713,Kama,,Back Bay,42.35201260357918,-71.08230289540408,Entire home/apt,105,30,6,2023-11-04,1.86,25,0,6,Exempt: This listing is a unit used for furnished institutional or business stays
960445111409431096,Rental unit in Boston · ★4.81 · 1 bedroom · 1 bed · 1 bath,500828273,The Bostonian Boston,,Downtown,42.35976,-71.05531,Entire home/apt,130,1,69,2023-12-15,18.48,3,98,69,Exempt: This listing is a hotel or motel
960460445290645632,Rental unit in Boston · Studio · 1 bed · 1 bath,266312920,STARS Of,,Back Bay,42.35253,-71.08066,Entire home/apt,105,30,1,2023-10-21,0.50,31,269,1,Exempt: This listing is a unit used for furnished institutional or business stays
960685883806728060,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,47584294,Jessy And Diego,,Back Bay,42.34445218198396,-71.08105165816404,Entire home/apt,99,2,19,2023-12-06,5.33,12,230,19,Exempt: This listing is a unit that has contracts with hospitals
960815028969330311,Rental unit in Boston · 2 bedrooms · 3 beds · 2 baths,163848078,Adam,,Jamaica Plain,42.32852903493563,-71.11188997856051,Entire home/apt,249,29,0,,,88,269,0,Str-647428
960827063707223984,Home in Boston · 3 bedrooms · 4 beds · 1.5 baths,52471469,Shannyn,,Dorchester,42.27987,-71.05947,Entire home/apt,148,91,0,,,1,360,0,
961819317838466399,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,159885470,Boston Short Term Rentals,,Roxbury,42.33350041235861,-71.07655030271009,Private room,42,1,0,,,12,196,0,STR-537585
962459201032552160,Rental unit in Boston · ★5.0 · 2 bedrooms · 6 beds · 2 baths,463475392,Johna,,Downtown,42.35143,-71.06756,Entire home/apt,599,3,5,2023-10-09,1.50,9,0,5,Exempt: This listing is a unit used for furnished institutional or business stays
963098687162501819,Rental unit in Boston · 3 bedrooms · 3 beds · 1 bath,159885470,Boston Short Term Rentals,,Roxbury,42.33502281519663,-71.07674060684329,Entire home/apt,250,1,2,2023-10-30,0.94,12,189,2,STR-537585
