id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50540200,Rental unit in Jersey City · ★4.75 · 1 bedroom · 1 bed · 1 bath,83938761,Dileiny,,Ward F (councilmember Jermaine D. Robinson),40.71757,-74.06761,Entire home/apt,116,1,158,2023-12-07,5.25,1,328,56,
50545725,Rental unit in Jersey City · ★4.83 · 3 bedrooms · 3 beds · 1.5 baths,488632044,Sandy,,Ward A (councilmember Denise Ridley),40.6931,-74.09043,Entire home/apt,119,30,18,2022-10-01,0.61,1,292,0,
50658261,Rental unit in Jersey City · ★4.92 · 2 bedrooms · 2 beds · 1 bath,351852093,Edgar,,Ward A (councilmember Denise Ridley),40.69677,-74.10249,Entire home/apt,203,2,50,2023-12-10,1.66,1,0,14,STR23-193
50867099,Rental unit in Jersey City · ★5.0 · 1 bedroom · 2 beds · 1 bath,70316706,Jackie,,Ward E (councilmember James Solomon),40.718517970368005,-74.04743568947369,Entire home/apt,189,2,7,2023-12-17,4.38,1,153,7,STR-000596-2023
51027578,Home in Jersey City · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,35118978,Cyaline,,Ward F (councilmember Jermaine D. Robinson),40.71054,-74.07288,Private room,59,28,14,2023-08-31,0.49,1,356,1,
51061074,Condo in Jersey City · ★4.42 · 1 bedroom · 1 bed · 1 shared bath,60129986,Lotus,,Ward A (councilmember Denise Ridley),40.69504,-74.09554,Private room,35,1,26,2023-03-18,1.06,3,341,6,
51086394,Condo in Jersey City · ★4.96 · 1 bedroom · 3 beds · 1 bath,23500331,Pilar,,Ward F (councilmember Jermaine D. Robinson),40.71312,-74.05988,Entire home/apt,116,3,28,2023-12-19,1.72,2,50,25,
51277757,Rental unit in Jersey City · ★4.74 · 3 bedrooms · 3 beds · 1 bath,301748017,Matthew,,Ward C (councilmember Richard Boggiano),40.7289,-74.06409,Entire home/apt,213,3,42,2023-12-04,1.57,1,252,15,
51335344,Rental unit in Jersey City · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,443343607,Kevin,,Ward D (councilmember Michael Yun),40.74687,-74.05941,Private room,53,28,5,2023-10-28,0.18,42,191,1,
51383203,Rental unit in Jersey City · ★5.0 · 1 bedroom · 2 beds · 2 baths,443343607,Kevin,,Ward D (councilmember Michael Yun),40.74663,-74.06125,Private room,65,28,10,2023-11-12,0.37,42,199,4,
51450133,Rental unit in Jersey City · 1 bedroom · 2 beds · 1 bath,252866861,UrbanDomus,,Ward E (councilmember James Solomon),40.72833,-74.03942,Entire home/apt,168,30,1,2023-06-27,0.17,6,364,1,
51466343,Rental unit in Jersey City · 1 bedroom · 1 bed · 1 bath,252866861,UrbanDomus,,Ward E (councilmember James Solomon),40.72646,-74.04093,Entire home/apt,168,30,0,,,6,359,0,
51510428,Rental unit in Jersey City · ★4.80 · 3 bedrooms · 3 beds · 1 bath,327546875,Amy,,Ward A (councilmember Denise Ridley),40.69991,-74.07805,Entire home/apt,130,28,55,2023-11-22,1.93,3,51,12,
51564203,Rental unit in Jersey City · ★5.0 · 1 bedroom · 1 shared bath,6490216,Frank,,Ward C (councilmember Richard Boggiano),40.73208,-74.05584,Private room,137,2,15,2023-12-03,0.63,1,77,14,
51582920,Condo in Jersey City · ★5.0 · 1 bedroom · 3 beds · 1 bath,18198220,Susan,,Ward E (councilmember James Solomon),40.72233,-74.04893,Entire home/apt,150,29,6,2023-11-30,0.22,2,179,3,
51624498,Townhouse in Jersey City · ★4.93 · 2 bedrooms · 2 beds · 1 private bath,2301686,Melanie,,Ward E (councilmember James Solomon),40.72432,-74.04417,Private room,113,2,82,2023-12-08,2.90,1,80,21,
51632358,Rental unit in Jersey City · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,443343607,Kevin,,Ward D (councilmember Michael Yun),40.74676,-74.06103,Private room,63,28,12,2023-09-14,0.43,42,212,4,
51685876,Home in Jersey City · ★4.76 · 2 bedrooms · 3 beds · 1 bath,486057770,David,,Ward D (councilmember Michael Yun),40.75112,-74.04143,Entire home/apt,169,1,34,2023-11-15,1.37,3,79,27,
51801204,Rental unit in Jersey City · 1 bedroom · 1 bed · 1 bath,364367885,Cozy Home,,Ward E (councilmember James Solomon),40.7269,-74.04035,Entire home/apt,180,30,1,2022-12-15,0.08,4,364,0,
51909087,Place to stay in Jersey City · ★4.83 · 1 bed · 1 private bath,178535875,Elizabeth,,Ward C (councilmember Richard Boggiano),40.7307,-74.05837,Private room,115,1,48,2023-12-08,1.78,20,354,24,
51940209,Condo in Jersey City · ★4.95 · 3 bedrooms · 4 beds · 2 baths,263514823,Pete And Sarah,,Ward C (councilmember Richard Boggiano),40.73019,-74.05811,Entire home/apt,496,31,20,2023-12-09,0.72,3,170,6,
51942864,Condo in Jersey City · ★4.96 · 3 bedrooms · 4 beds · 2 baths,263514823,Pete And Sarah,,Ward C (councilmember Richard Boggiano),40.7293,-74.05731,Entire home/apt,542,31,25,2023-11-25,0.93,3,168,6,
51947152,Guest suite in Jersey City · ★4.65 · 1 bedroom · 1 bed · 1 bath,263514823,Pete And Sarah,,Ward C (councilmember Richard Boggiano),40.72946,-74.05746,Entire home/apt,270,31,17,2023-12-18,0.67,3,116,7,
52128842,Rental unit in Jersey City · ★4.90 · 1 bedroom · 1 bed · 1 bath,160319145,Tiffany,,Ward E (councilmember James Solomon),40.72529,-74.04514,Entire home/apt,146,1,81,2023-12-19,4.29,1,0,51,
