id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51592985,Home in Oak Grove · ★4.96 · 1 bedroom · 1 bed · 2 shared baths,415324749,Shayne,,Anoka,45.32802,-93.32013,Private room,37,1,26,2023-11-24,0.93,5,364,13,
51593051,Home in Oak Grove · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,415324749,Shayne,,Anoka,45.32836,-93.31997,Private room,37,1,36,2023-10-26,1.41,5,357,22,
51593124,Home in Oak Grove · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,415324749,Shayne,,Anoka,45.32877,-93.31826,Private room,37,1,41,2023-10-22,1.48,5,364,17,
51600008,Home in Minneapolis · ★4.72 · 4 bedrooms · 5 beds · 2 baths,33873142,Homi,,Hennepin,44.94803,-93.37905,Entire home/apt,125,2,87,2023-11-30,3.12,15,170,23,
51602369,Rental unit in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 1 bath,134425957,Chad,,Hennepin,44.95527,-93.29079,Entire home/apt,82,30,3,2023-08-13,0.14,3,334,2,
51625547,Home in Minneapolis · ★4.73 · 3 bedrooms · 3 beds · 1 bath,160412711,Ron,,Hennepin,44.87347,-93.24901,Entire home/apt,103,1,163,2023-12-03,5.73,2,0,54,
51642162,Cottage in Minneapolis · ★4.93 · 3 bedrooms · 4 beds · 2 baths,378010552,Jessica,,Hennepin,44.99613488462496,-93.42787586152554,Entire home/apt,451,2,14,2023-11-27,2.35,2,329,14,
51651879,Home in Minneapolis · ★4.73 · 2 bedrooms · 3 beds · 1 bath,23393844,Ronald,,Hennepin,45.00064,-93.30833,Entire home/apt,105,1,11,2023-11-12,0.41,2,71,6,LIC-172496
51665582,Home in St. Louis Park · ★4.91 · 1 bedroom · 2 beds · 1 private bath,418567009,Anthony,,Hennepin,44.94931,-93.38816,Private room,64,1,68,2023-10-29,2.41,1,89,16,
51695855,Cabin in Wahkon · ★4.90 · 4 bedrooms · 11 beds · 3 baths,121585674,Brian,,Mille Lacs,46.13586,-93.50537,Entire home/apt,522,3,52,2023-11-24,1.91,6,325,22,
